exp_flood,exp_disas,prior_cc,prior_slr,pol_party,pol_ideol,age,educ,children,income,t,cost,wtp,purchase,sit_worry,sit_prepare,glob_finan,glob_safe,female,minority,university,unemployed,married,standalone,coastal,t0,t1,t2,t3,pol,cc,sit_w,sit_p,glob_f,glob_s,sit_sum,sit,prem_perceived,prem_actual
0,1,5,5,4,4,35,3,0,37500,Treatment 2a,20,20,1,5,5,5,5,0,0,0,0,0,0,1,0,0,1,0,5.92658341663687,0.973477884601824,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,6,0,-42.5
1,1,4,5,7,1,25,6,0,87500,Treatment 1,65,55,1,4,5,4,3,0,0,1,0,0,0,0,0,1,0,0,5.92658341663687,0.428874872237167,0.174669826244958,1.04863583254347,-0.459845988710713,-1.45681050812719,9,5,-10,-7.5
0,0,5,4,2,2,45,5,2,37500,Treatment 2a,46,0,0,1,2,4,4,1,1,0,0,1,0,1,0,0,1,0,1.92658341663687,0.428874872237167,-2.71641695298194,-2.39893402787342,-0.459845988710713,-0.206999884532818,3,1,-46,-62.5
0,0,5,5,2,2,25,6,0,37500,Treatment 1,50,0,0,2,3,5,3,0,1,1,0,0,0,1,0,1,0,0,1.92658341663687,0.973477884601824,-1.75272135990631,-1.24974407440113,0.853999693319896,-1.45681050812719,5,1,-50,-62.5
0,0,2,2,1,2,25,6,0,62500,Treatment 2b,47,43,1,2,3,2,3,1,0,1,0,0,0,1,0,0,0,1,0.926583416636868,-2.29414018958612,-1.75272135990631,-1.24974407440113,-3.08753735277193,-1.45681050812719,5,1,-4,-19.5
0,0,5,5,4,4,25,6,0,150000,Control,66,0,0,3,3,3,3,1,0,1,0,0,0,1,1,0,0,0,5.92658341663687,0.973477884601824,-0.789025766830675,-1.24974407440113,-1.77369167074132,-1.45681050812719,6,1,-66,-62.5
0,0,5,5,2,2,25,6,0,37500,Control,102,79,1,3,4,4,3,0,0,1,0,0,0,1,1,0,0,0,1.92658341663687,0.973477884601824,-0.789025766830675,-0.100554120928827,-0.459845988710713,-1.45681050812719,7,2,-23,16.5
0,0,4,4,4,4,35,6,2,87500,Control,23,47,1,4,4,4,4,0,1,1,0,1,1,0,1,0,0,0,5.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,3,24,-15.5
0,1,3,3,6,5,45,7,3,150000,Treatment 2a,100,100,1,5,5,5,5,1,0,1,0,1,1,1,0,0,1,0,8.92658341663687,-1.2049341648568,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,6,0,37.5
0,1,5,5,3,3,25,6,0,62500,Treatment 2b,10,20,1,4,4,5,4,0,0,1,0,0,0,1,0,0,0,1,3.92658341663687,0.973477884601824,0.174669826244958,-0.100554120928827,0.853999693319896,-0.206999884532818,8,3,10,-42.5
0,0,5,5,1,1,25,7,0,62500,Treatment 2b,75,100,1,5,5,5,5,1,0,1,0,1,0,0,0,0,0,1,-0.0734165833631315,0.973477884601824,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,6,25,37.5
1,1,4,4,7,4,25,6,0,87500,Treatment 2b,104,93,1,4,2,3,3,0,0,1,0,0,0,0,0,0,0,1,8.92658341663687,-0.11572814012749,0.174669826244958,-2.39893402787342,-1.77369167074132,-1.45681050812719,6,1,-11,30.5
1,1,4,4,4,3,25,5,0,37500,Treatment 2a,30,22,1,2,2,4,5,1,0,0,0,0,0,1,0,0,1,0,4.92658341663687,-0.11572814012749,-1.75272135990631,-2.39893402787342,-0.459845988710713,1.04281073906155,4,1,-8,-40.5
1,0,3,4,4,4,35,6,2,150000,Treatment 1,34,48,1,4,5,3,4,0,0,1,0,1,1,1,0,1,0,0,5.92658341663687,-0.660331152492146,0.174669826244958,1.04863583254347,-1.77369167074132,-0.206999884532818,9,5,14,-14.5
0,1,5,4,3,3,35,6,0,37500,Treatment 1,35,50,1,4,4,5,5,0,0,1,0,0,0,0,0,1,0,0,3.92658341663687,0.428874872237167,0.174669826244958,-0.100554120928827,0.853999693319896,1.04281073906155,8,3,15,-12.5
0,1,4,3,5,4,35,6,2,87500,Control,21,20,1,4,4,5,4,1,0,1,0,1,1,0,1,0,0,0,6.92658341663687,-0.660331152492146,0.174669826244958,-0.100554120928827,0.853999693319896,-0.206999884532818,8,3,-1,-42.5
0,0,5,5,1,1,35,6,0,62500,Treatment 2a,45,50,1,5,5,4,5,1,0,1,0,1,0,1,0,0,1,0,-0.0734165833631315,0.973477884601824,1.13836541932059,1.04863583254347,-0.459845988710713,1.04281073906155,10,6,5,-12.5
0,0,5,5,2,2,25,3,0,37500,Treatment 2b,53,50,1,5,5,4,4,1,0,0,0,0,0,0,0,0,0,1,1.92658341663687,0.973477884601824,1.13836541932059,1.04863583254347,-0.459845988710713,-0.206999884532818,10,6,-3,-12.5
0,1,4,4,4,2,35,6,0,62500,Control,60,70,1,2,4,4,2,0,1,1,0,1,0,1,1,0,0,0,3.92658341663687,-0.11572814012749,-1.75272135990631,-0.100554120928827,-0.459845988710713,-2.70662113172156,6,1,10,7.5
0,1,1,5,4,7,35,3,0,37500,Treatment 1,70,0,0,5,5,4,5,0,1,0,0,0,0,1,0,1,0,0,8.92658341663687,-1.2049341648568,1.13836541932059,1.04863583254347,-0.459845988710713,1.04281073906155,10,6,-70,-62.5
1,1,5,4,1,2,25,6,1,62500,Treatment 2a,108,109,1,2,5,5,5,0,0,1,0,1,0,1,0,0,1,0,0.926583416636868,0.428874872237167,-1.75272135990631,1.04863583254347,0.853999693319896,1.04281073906155,7,2,1,46.5
1,1,5,4,6,2,35,6,1,87500,Control,115,99,1,4,5,5,4,0,0,1,0,1,0,1,1,0,0,0,5.92658341663687,0.428874872237167,0.174669826244958,1.04863583254347,0.853999693319896,-0.206999884532818,9,5,-16,36.5
1,0,4,4,5,3,35,5,1,62500,Treatment 2a,116,125,1,4,4,4,5,1,0,0,0,1,0,1,0,0,1,0,5.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,-0.459845988710713,1.04281073906155,8,3,9,62.5
1,1,4,4,6,3,35,6,1,37500,Treatment 2a,84,96,1,4,4,3,4,0,1,1,0,1,0,1,0,0,1,0,6.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,-1.77369167074132,-0.206999884532818,8,3,12,33.5
1,1,5,5,1,2,25,6,0,12500,Treatment 2a,50,60,1,5,5,5,5,1,0,1,0,0,0,0,0,0,1,0,0.926583416636868,0.973477884601824,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,6,10,-2.5
0,1,4,4,7,6,25,6,0,37500,Control,50,50,1,4,4,4,4,1,0,1,0,0,0,1,1,0,0,0,10.9265834166369,-0.11572814012749,0.174669826244958,-0.100554120928827,-0.459845988710713,-0.206999884532818,8,3,0,-12.5
0,1,1,2,4,6,25,3,0,37500,Control,125,125,1,4,5,5,5,1,1,0,0,0,0,1,1,0,0,0,7.92658341663687,-2.83874320195077,0.174669826244958,1.04863583254347,0.853999693319896,1.04281073906155,9,5,0,62.5
1,1,5,4,7,1,25,6,0,87500,Control,62,48,1,5,5,4,4,0,0,1,0,0,0,0,1,0,0,0,5.92658341663687,0.428874872237167,1.13836541932059,1.04863583254347,-0.459845988710713,-0.206999884532818,10,6,-14,-14.5
