exp_flood,exp_disas,prior_cc,prior_slr,pol_party,pol_ideol,age,educ,children,income,t,cost,wtp,purchase,sit_worry,sit_prepare,glob_finan,glob_safe,female,minority,university,unemployed,married,standalone,coastal,t0,t1,t2,t3
0,1,5,5,4,4,35,3,0,37500,Treatment 2a,20,20,1,5,5,5,5,0,0,0,0,0,0,1,0,0,1,0
1,1,4,5,7,1,25,6,0,87500,Treatment 1,65,55,1,4,5,4,3,0,0,1,0,0,0,0,0,1,0,0
0,0,5,4,2,2,45,5,2,37500,Treatment 2a,46,0,0,1,2,4,4,1,1,0,0,1,0,1,0,0,1,0
0,0,5,5,2,2,25,6,0,37500,Treatment 1,50,0,0,2,3,5,3,0,1,1,0,0,0,1,0,1,0,0
0,0,2,2,1,2,25,6,0,62500,Treatment 2b,47,43,1,2,3,2,3,1,0,1,0,0,0,1,0,0,0,1
0,0,5,5,4,4,25,6,0,150000,Control,66,0,0,3,3,3,3,1,0,1,0,0,0,1,1,0,0,0
0,0,5,5,2,2,25,6,0,37500,Control,102,79,1,3,4,4,3,0,0,1,0,0,0,1,1,0,0,0
0,0,4,4,4,4,35,6,2,87500,Control,23,47,1,4,4,4,4,0,1,1,0,1,1,0,1,0,0,0
0,1,3,3,6,5,45,7,3,150000,Treatment 2a,100,100,1,5,5,5,5,1,0,1,0,1,1,1,0,0,1,0
0,1,5,5,3,3,25,6,0,62500,Treatment 2b,10,20,1,4,4,5,4,0,0,1,0,0,0,1,0,0,0,1
0,0,5,5,1,1,25,7,0,62500,Treatment 2b,75,100,1,5,5,5,5,1,0,1,0,1,0,0,0,0,0,1
1,1,4,4,7,4,25,6,0,87500,Treatment 2b,104,93,1,4,2,3,3,0,0,1,0,0,0,0,0,0,0,1
1,1,4,4,4,3,25,5,0,37500,Treatment 2a,30,22,1,2,2,4,5,1,0,0,0,0,0,1,0,0,1,0
1,0,3,4,4,4,35,6,2,150000,Treatment 1,34,48,1,4,5,3,4,0,0,1,0,1,1,1,0,1,0,0
